ERR_USERNOTINCHANNEL "<nick> <channel> :They aren't on that channel" 
ERR_NOTONCHANNEL "<channel> :You're not on that channel" 
ERR_USERONCHANNEL "<user> <channel> :is already on channel" 
ERR_NOLOGIN "<user> :User not logged in" 
ERR_SUMMONDISABLED ":SUMMON has been disabled" 
ERR_USERSDISABLED ":USERS has been disabled" 
ERR_NOTREGISTERED ":You have not registered" 
ERR_NEEDMOREPARAMS "<command> :Not enough parameters" 
ERR_ALREADYREGISTRED ":Unauthorized command (already registered)" 
ERR_NOPERMFORHOST ":Your host isn't among the privileged" 
ERR_PASSWDMISMATCH ":Password incorrect" 
ERR_YOUREBANNEDCREEP ":You are banned from this server" 
ERR_YOUWILLBEBANNED ":You will be banned"
ERR_KEYSET "<channel> :Channel key already set"
ERR_CHANNELISFULL "<channel> :Cannot join channel (+l)"
ERR_UNKNOWNMODE "<char> :is unknown mode char to me for <channel>"
ERR_INVITEONLYCHAN "<channel> :Cannot join channel (+i)"
ERR_BANNEDFROMCHAN "<channel> :Cannot join channel (+b)"
ERR_BADCHANNELKEY "<channel> :Cannot join channel (+k)"
ERR_BADCHANMASK "<channel> :Bad Channel Mask"
ERR_NOCHANMODES "<channel> :Channel doesn't support modes"
ERR_BANLISTFULL "<channel> <char> :Channel list is full"
ERR_NOPRIVILEGES ":Permission Denied- You're not an IRC operator"
ERR_CHANOPRIVSNEEDED "<channel> :You're not channel operator" 
ERR_CANTKILLSERVER ":You can't kill a server!" 
ERR_RESTRICTED ":Your connection is restricted!" 
ERR_UNIQOPPRIVSNEEDED ":You're not the original channel operator" 
ERR_NOOPERHOST ":No O-lines for your host" 
ERR_UMODEUNKNOWNFLAG ":Unknown MODE flag" 
ERR_USERSDONTMATCH ":Cannot change mode for other users"
